path_1_bw,path_1_delay,path_1_loss,path_2_bw,delay_2,loss_2
3.2,81,0.0,3.8,77,0.2
4.4,79,0.7,3.2,51,0.3
3.3,66,0.9,5.0,81,0.5
3.4,69,0.8,4.7,81,0.5
3.7,66,0.6,3.5,74,0.6
4.3,65,0.7,5.0,82,0.1
4.8,83,0.2,4.1,69,0.4
4.2,69,0.3,4.2,69,0.0
3.2,62,0.6,4.2,81,0.9
3.3,62,0.8,3.7,58,0.4
4.5,52,0.4,4.1,83,0.0
3.4,57,0.3,4.6,81,0.2
3.8,54,0.9,4.3,64,0.6
4.5,68,0.9,3.4,54,0.3
4.5,71,0.8,4.8,77,1.0
3.8,70,0.9,3.9,63,1.0
4.9,80,0.2,4.8,55,1.0
4.6,50,0.4,4.7,81,0.4
3.9,75,0.5,4.4,70,0.4
3.7,62,0.5,3.1,60,0.6
4.2,57,0.8,3.5,79,0.1
5.0,80,0.3,4.9,76,0.4
3.8,85,0.4,3.2,65,0.0
4.9,77,0.3,3.6,65,0.0
4.6,55,0.2,4.9,68,0.4
3.8,71,0.5,3.5,83,0.4
4.7,75,0.9,3.6,66,0.4
4.6,66,0.2,4.0,68,0.7
3.4,55,0.4,4.6,62,0.5
3.9,73,0.5,4.0,85,1.0
3.5,82,0.0,5.0,78,0.3
4.2,70,0.9,3.2,80,0.5
4.8,69,0.8,5.0,57,0.1
4.4,60,0.0,3.5,68,0.1
4.6,72,0.1,4.4,72,0.7
4.7,71,0.9,3.6,64,0.1
3.7,75,0.5,3.3,74,0.1
4.5,83,0.7,4.5,63,0.4
3.2,83,0.2,3.1,84,1.0
4.8,78,0.5,4.8,80,0.9
3.3,67,0.6,4.6,54,0.4
3.3,64,0.9,3.7,64,0.1
4.8,81,0.1,4.4,67,0.4
4.2,84,0.6,4.8,82,0.3
4.9,58,0.1,4.9,71,1.0
4.5,50,0.9,4.5,74,0.0
4.7,67,0.1,4.3,55,0.4
3.6,52,0.7,4.9,82,0.5
4.2,80,0.6,4.6,75,0.1
4.3,55,0.8,3.1,84,1.0
4.4,50,0.7,4.5,59,0.4
5.0,67,0.0,4.3,77,0.4
3.3,78,0.9,3.5,70,0.1
3.8,50,0.1,4.4,74,0.6
4.6,71,0.8,4.2,80,0.9
4.9,76,0.8,4.0,58,0.1
4.4,78,0.3,3.6,85,1.0
3.6,65,0.6,3.4,76,0.6
3.9,61,0.9,3.3,58,0.0
4.5,59,0.1,3.8,58,0.5
3.5,61,0.5,4.6,61,0.2
3.8,54,1.0,4.7,56,0.9
5.0,66,0.3,4.3,84,0.5
3.6,67,0.6,4.7,85,0.6
3.8,75,0.7,4.5,84,0.3
3.2,60,0.7,3.6,68,1.0
3.4,80,1.0,4.8,63,0.2
4.5,60,0.2,3.9,56,0.9
5.0,70,0.2,3.7,51,0.6
3.7,78,0.6,4.8,81,0.3
3.5,62,0.4,4.6,75,0.0
4.3,54,0.9,4.2,67,0.6
3.1,84,0.5,3.5,65,0.9
4.6,50,0.0,4.7,55,0.7
4.1,77,0.0,4.3,85,0.3
3.4,62,0.1,3.3,61,0.6
3.8,81,0.0,4.9,83,0.7
4.9,56,0.9,4.1,73,0.9
4.6,79,0.4,4.3,53,0.8
4.4,64,0.9,3.4,71,0.0
4.2,54,0.9,4.4,58,0.9
3.3,62,0.2,4.6,72,0.0
3.1,78,0.4,3.6,82,0.5
3.3,57,0.0,4.7,64,0.8
4.7,54,1.0,4.8,53,0.1
3.4,55,1.0,4.8,74,1.0
3.1,72,0.2,3.9,51,0.6
3.8,69,0.1,3.4,51,0.8
3.6,53,0.7,4.6,85,0.3
3.2,66,0.6,4.6,56,0.8
4.8,61,0.9,3.3,81,0.6
3.8,64,0.9,3.8,78,1.0
4.9,80,0.6,3.5,52,0.1
3.3,60,1.0,4.4,84,0.3
4.3,53,0.9,5.0,85,0.9
5.0,71,0.9,4.2,72,0.6
4.9,66,0.6,4.0,64,0.8
3.2,57,0.8,3.7,81,1.0
3.5,59,0.4,3.9,72,0.6
3.9,57,0.0,4.8,59,0.0
4.0,70,0.9,3.5,55,0.0
4.7,61,0.1,4.4,53,0.8
4.8,77,0.1,4.4,59,0.4
3.2,50,0.7,3.1,56,0.3
4.4,74,0.2,4.8,55,0.8
4.6,70,0.0,4.1,63,0.8
3.1,69,0.4,4.2,61,1.0
4.3,74,0.3,3.8,62,0.3
4.4,72,0.3,4.7,73,0.9
5.0,73,0.8,4.7,59,0.8
3.3,67,0.0,3.5,63,0.3
4.9,80,0.2,4.5,61,0.3
3.5,76,1.0,4.5,78,0.4
3.9,77,0.9,5.0,58,0.4
3.7,66,0.6,3.7,67,0.4
3.1,75,0.8,4.3,64,0.5
4.4,77,0.2,3.3,66,0.9
3.2,53,0.1,4.5,71,0.6
3.8,78,0.0,3.1,59,1.0
4.7,85,0.5,4.3,77,0.9
3.2,62,0.4,3.3,59,0.7
4.9,75,0.6,4.5,76,0.1
4.2,62,0.6,4.4,84,0.5
4.3,71,0.7,3.9,80,0.3
4.7,72,0.6,4.0,60,0.3
4.7,73,0.8,3.3,63,0.4
4.8,70,0.4,4.9,75,0.5
5.0,70,0.7,4.0,52,0.7
3.4,66,0.3,4.6,79,0.5
4.3,56,0.9,4.2,58,0.1
3.9,66,0.7,4.2,70,0.3
3.6,81,0.4,4.2,63,0.2
4.4,81,0.1,3.1,54,0.6
3.8,77,0.4,4.4,64,0.6
4.2,63,0.4,3.6,72,0.7
4.3,59,0.2,4.8,56,0.4
4.8,65,0.7,4.8,64,0.0
5.0,54,0.9,4.8,74,0.6
3.5,69,0.6,4.1,52,0.8
3.8,58,0.8,3.5,65,0.7
4.4,82,0.7,4.2,54,1.0
4.6,73,1.0,3.7,80,0.8
5.0,81,0.1,4.7,68,0.8
3.5,76,0.3,3.2,64,0.1
3.2,77,0.8,4.6,51,0.5
3.1,75,0.2,3.2,73,1.0
3.8,51,0.5,5.0,52,0.9
4.7,79,0.0,4.1,84,0.1
3.9,68,0.8,4.3,83,0.7
4.8,65,0.2,4.7,74,0.4
3.5,84,0.2,3.4,51,0.8
4.1,56,0.2,3.8,69,0.6
3.6,61,0.9,4.5,56,0.3
4.0,69,0.7,4.9,71,0.6
3.4,52,0.7,4.2,71,1.0
3.3,58,0.7,3.9,65,0.8
4.9,83,0.9,4.4,81,0.9
4.2,64,0.5,5.0,69,0.7
3.7,70,0.4,3.9,53,1.0
3.3,70,0.1,3.4,56,0.2
4.6,56,0.8,4.5,68,0.2
3.1,79,0.4,3.9,73,0.0
4.1,71,0.7,3.4,59,0.3
4.1,80,0.5,3.9,76,0.3
4.6,82,0.2,4.3,51,0.6
3.9,78,0.4,4.7,64,0.4
3.9,50,1.0,4.0,69,1.0
3.6,60,0.7,4.5,79,0.4
3.3,66,0.0,3.6,65,0.6
4.0,53,0.8,4.8,62,0.5
3.2,55,1.0,4.7,70,0.5
3.3,65,0.6,3.6,79,0.2
3.6,55,1.0,3.6,63,0.4
3.1,65,0.9,3.3,69,1.0
4.6,56,0.1,4.7,81,1.0
4.2,74,0.9,4.3,78,0.4
5.0,64,1.0,3.2,68,0.9
3.4,56,0.4,4.7,59,0.6
4.7,60,0.7,4.4,50,0.0
3.9,73,0.7,3.4,79,0.0
3.8,73,0.8,4.7,55,0.4
4.1,77,0.5,4.2,65,0.4
3.8,51,0.5,3.3,59,0.3
3.5,50,0.0,3.1,60,0.5
4.5,80,1.0,4.8,68,0.4
3.9,62,0.6,3.9,81,0.4
4.4,70,1.0,3.8,56,0.8
4.5,54,0.5,4.5,74,0.2
4.9,78,0.0,4.4,62,0.9
4.5,72,0.0,4.9,60,0.3
3.4,52,0.8,4.5,73,0.9
4.6,78,0.5,4.7,57,0.5
4.2,73,0.9,4.2,64,0.7
3.7,51,0.9,3.1,74,0.3
4.1,78,0.1,5.0,57,0.7
3.6,67,0.3,4.1,84,1.0
4.7,75,0.8,3.9,74,0.2
3.2,72,0.4,3.9,78,0.3
4.2,70,1.0,4.2,71,0.2
3.6,65,0.9,4.0,78,1.0
3.7,77,0.5,4.6,59,0.7
4.3,76,0.3,3.8,67,0.0
4.5,68,0.5,3.8,50,0.3
4.9,85,0.4,4.5,75,0.7
5.0,58,0.2,4.7,83,0.5
5.0,74,0.1,3.9,82,0.0
4.3,76,0.8,3.9,80,0.8
4.5,54,0.4,4.5,63,0.0
4.8,57,0.6,4.3,68,0.8
3.4,51,0.9,5.0,73,0.0
4.6,74,0.7,3.5,84,0.2
4.8,51,1.0,3.1,62,1.0
4.7,59,0.6,4.9,78,0.8
3.8,80,0.4,3.2,53,0.2
4.6,78,0.7,4.1,66,0.3
3.4,56,0.2,4.9,54,0.3
3.9,51,1.0,4.4,54,0.0
3.1,58,0.8,3.8,84,0.6
3.5,51,0.5,5.0,63,0.2
4.6,79,0.9,3.5,83,0.6
3.3,81,1.0,3.5,61,0.4
4.7,68,0.4,4.4,62,0.9
3.2,51,1.0,3.4,64,0.4
4.6,69,0.1,3.7,85,0.2
3.9,59,0.8,4.0,57,0.1
4.9,81,1.0,4.6,71,0.4
4.0,69,0.7,3.6,68,0.2
4.7,78,0.1,3.8,76,0.4
4.2,73,1.0,3.2,66,0.2
5.0,67,0.0,4.6,66,0.9
4.8,70,0.4,3.2,58,0.1
4.4,82,0.5,4.3,77,0.1
3.3,68,0.2,4.4,63,1.0
3.6,66,0.5,4.0,54,0.8
